race_id,track_name_ri,pred_finish_ri,car_number_ri,driver,formatted_driver,driver_id
5546,Daytona International Speedway,1,8,Kyle Busch,Kyle Busch,454
5546,Daytona International Speedway,2,20,Christopher Bell,Christopher Bell,4153
5546,Daytona International Speedway,3,24,William Byron,William Byron,4184
5546,Daytona International Speedway,4,17,Chris Buescher,Chris Buescher,3989
5546,Daytona International Speedway,5,48,Alex Bowman,Alex Bowman,4045
5546,Daytona International Speedway,6,23,Bubba Wallace,Bubba Wallace,4025
5546,Daytona International Speedway,7,9,Chase Elliott,Chase Elliott,4062
5546,Daytona International Speedway,8,12,Ryan Blaney,Ryan Blaney,4023
5546,Daytona International Speedway,9,22,Joey Logano,Joey Logano,3859
5546,Daytona International Speedway,10,2,Austin Cindric,Austin Cindric,4180
5546,Daytona International Speedway,11,5,Kyle Larson,Kyle Larson,4030
5546,Daytona International Speedway,12,1,Ross Chastain,Ross Chastain,4001
5546,Daytona International Speedway,13,6,Brad Keselowski,Brad Keselowski,1816
5546,Daytona International Speedway,14,11,Denny Hamlin,Denny Hamlin,1361
5546,Daytona International Speedway,15,56,Martin Truex Jr.,Martin Truex Jr,3368
5546,Daytona International Speedway,16,99,Daniel Suárez,Daniel Suárez,4113
5546,Daytona International Speedway,17,16,AJ Allmendinger,AJ Allmendinger,3774
5546,Daytona International Speedway,18,19,Chase Briscoe,Chase Briscoe,4228
5546,Daytona International Speedway,19,1,Corey LaJoie,Corey LaJoie,4096
5546,Daytona International Speedway,20,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5546,Daytona International Speedway,21,45,Tyler Reddick,Tyler Reddick,4065
5546,Daytona International Speedway,22,51,Cody Ware,Cody Ware,4125
5546,Daytona International Speedway,23,38,Zane Smith,Zane Smith,4272
5546,Daytona International Speedway,24,43,Erik Jones,Erik Jones,4059
5546,Daytona International Speedway,25,4,Noah Gragson,Noah Gragson,4224
5546,Daytona International Speedway,26,54,Ty Gibbs,Ty Gibbs,4368
5546,Daytona International Speedway,27,71,Michael McDowell,Michael McDowell,3832
5546,Daytona International Speedway,28,34,Todd Gilliland,Todd Gilliland,4231
5546,Daytona International Speedway,29,42,John H. Nemechek,John H. Nemechek,4092
5546,Daytona International Speedway,30,7,Justin Haley,Justin Haley,4172
5546,Daytona International Speedway,31,77,Carson Hocevar,Carson Hocevar,4326
5546,Daytona International Speedway,32,21,Josh Berry,Josh Berry,4123
5546,Daytona International Speedway,33,60,Ryan Preece,Ryan Preece,4070
5546,Daytona International Speedway,34,3,Austin Dillon,Austin Dillon,3873
5546,Daytona International Speedway,35,10,Ty Dillon,Ty Dillon,4013
5546,Daytona International Speedway,36,62,Anthony Alfredo,Anthony Alfredo,4301
5546,Daytona International Speedway,37,88,Shane van Gisbergen,Shane van Gisbergen,4469
5546,Daytona International Speedway,38,78,BJ McLeod,BJ McLeod,3973
5546,Daytona International Speedway,39,66,Chandler Smith,Chandler Smith,4312
5546,Daytona International Speedway,40,44,J.J. Yeley,JJ Yeley,3669
5546,Daytona International Speedway,41,41,Cole Custer,Cole Custer,4104
5546,Daytona International Speedway,42,84,Jimmie Johnson,Jimmie Johnson,1717
5546,Daytona International Speedway,43,35,Riley Herbst,Riley Herbst,4269
5546,Daytona International Speedway,44,40,Justin Allgaier,Justin Allgaier,34
5546,Daytona International Speedway,45,91,Hélio Castroneves,Hélio Castroneves,4505
5547,Atlanta Motor Speedway,1,12,Ryan Blaney,Ryan Blaney,4023
5547,Atlanta Motor Speedway,2,24,William Byron,William Byron,4184
5547,Atlanta Motor Speedway,3,9,Chase Elliott,Chase Elliott,4062
5547,Atlanta Motor Speedway,4,2,Austin Cindric,Austin Cindric,4180
5547,Atlanta Motor Speedway,5,8,Kyle Busch,Kyle Busch,454
5547,Atlanta Motor Speedway,6,20,Christopher Bell,Christopher Bell,4153
5547,Atlanta Motor Speedway,7,22,Joey Logano,Joey Logano,3859
5547,Atlanta Motor Speedway,8,99,Daniel Suárez,Daniel Suárez,4113
5547,Atlanta Motor Speedway,9,48,Alex Bowman,Alex Bowman,4045
5547,Atlanta Motor Speedway,10,23,Bubba Wallace,Bubba Wallace,4025
5547,Atlanta Motor Speedway,11,17,Chris Buescher,Chris Buescher,3989
5547,Atlanta Motor Speedway,12,1,Ross Chastain,Ross Chastain,4001
5547,Atlanta Motor Speedway,13,6,Brad Keselowski,Brad Keselowski,1816
5547,Atlanta Motor Speedway,14,71,Michael McDowell,Michael McDowell,3832
5547,Atlanta Motor Speedway,15,5,Kyle Larson,Kyle Larson,4030
5547,Atlanta Motor Speedway,16,11,Denny Hamlin,Denny Hamlin,1361
5547,Atlanta Motor Speedway,17,16,AJ Allmendinger,AJ Allmendinger,3774
5547,Atlanta Motor Speedway,18,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5547,Atlanta Motor Speedway,19,45,Tyler Reddick,Tyler Reddick,4065
5547,Atlanta Motor Speedway,20,43,Erik Jones,Erik Jones,4059
5547,Atlanta Motor Speedway,21,1,Corey LaJoie,Corey LaJoie,4096
5547,Atlanta Motor Speedway,22,7,Justin Haley,Justin Haley,4172
5547,Atlanta Motor Speedway,23,54,Ty Gibbs,Ty Gibbs,4368
5547,Atlanta Motor Speedway,24,34,Todd Gilliland,Todd Gilliland,4231
5547,Atlanta Motor Speedway,25,19,Chase Briscoe,Chase Briscoe,4228
5547,Atlanta Motor Speedway,26,60,Ryan Preece,Ryan Preece,4070
5547,Atlanta Motor Speedway,27,77,Carson Hocevar,Carson Hocevar,4326
5547,Atlanta Motor Speedway,28,10,Ty Dillon,Ty Dillon,4013
5547,Atlanta Motor Speedway,29,4,Noah Gragson,Noah Gragson,4224
5547,Atlanta Motor Speedway,30,3,Austin Dillon,Austin Dillon,3873
5547,Atlanta Motor Speedway,31,41,Cole Custer,Cole Custer,4104
5547,Atlanta Motor Speedway,32,21,Josh Berry,Josh Berry,4123
5547,Atlanta Motor Speedway,33,42,John Hunter Nemechek,John H. Nemechek,4092
5547,Atlanta Motor Speedway,34,38,Zane Smith,Zane Smith,4272
5547,Atlanta Motor Speedway,35,51,Cody Ware,Cody Ware,4125
5547,Atlanta Motor Speedway,36,88,Shane van Gisbergen,Shane van Gisbergen,4469
5547,Atlanta Motor Speedway,37,44,J.J. Yeley,JJ Yeley,3669
5547,Atlanta Motor Speedway,38,35,Riley Herbst,Riley Herbst,4269
5547,Atlanta Motor Speedway,39,78,BJ McLeod,BJ McLeod,3973
5548,Las Vegas Motor Speedway,1,24,William Byron,William Byron,4184
5548,Las Vegas Motor Speedway,2,5,Kyle Larson,Kyle Larson,4030
5548,Las Vegas Motor Speedway,3,20,Christopher Bell,Christopher Bell,4153
5548,Las Vegas Motor Speedway,4,11,Denny Hamlin,Denny Hamlin,1361
5548,Las Vegas Motor Speedway,5,48,Alex Bowman,Alex Bowman,4045
5548,Las Vegas Motor Speedway,6,45,Tyler Reddick,Tyler Reddick,4065
5548,Las Vegas Motor Speedway,7,1,Ross Chastain,Ross Chastain,4001
5548,Las Vegas Motor Speedway,8,17,Chris Buescher,Chris Buescher,3989
5548,Las Vegas Motor Speedway,9,12,Ryan Blaney,Ryan Blaney,4023
5548,Las Vegas Motor Speedway,10,8,Kyle Busch,Kyle Busch,454
5548,Las Vegas Motor Speedway,11,22,Joey Logano,Joey Logano,3859
5548,Las Vegas Motor Speedway,12,9,Chase Elliott,Chase Elliott,4062
5548,Las Vegas Motor Speedway,13,23,Bubba Wallace,Bubba Wallace,4025
5548,Las Vegas Motor Speedway,14,99,Daniel Suárez,Daniel Suárez,4113
5548,Las Vegas Motor Speedway,15,16,AJ Allmendinger,AJ Allmendinger,3774
5548,Las Vegas Motor Speedway,16,2,Austin Cindric,Austin Cindric,4180
5548,Las Vegas Motor Speedway,17,4,Noah Gragson,Noah Gragson,4224
5548,Las Vegas Motor Speedway,18,6,Brad Keselowski,Brad Keselowski,1816
5548,Las Vegas Motor Speedway,19,77,Carson Hocevar,Carson Hocevar,4326
5548,Las Vegas Motor Speedway,20,43,Erik Jones,Erik Jones,4059
5548,Las Vegas Motor Speedway,21,21,Josh Berry,Josh Berry,4123
5548,Las Vegas Motor Speedway,22,60,Ryan Preece,Ryan Preece,4070
5548,Las Vegas Motor Speedway,23,71,Michael McDowell,Michael McDowell,3832
5548,Las Vegas Motor Speedway,24,19,Chase Briscoe,Chase Briscoe,4228
5548,Las Vegas Motor Speedway,25,3,Austin Dillon,Austin Dillon,3873
5548,Las Vegas Motor Speedway,26,42,John H. Nemechek,John H. Nemechek,4092
5548,Las Vegas Motor Speedway,27,54,Ty Gibbs,Ty Gibbs,4368
5548,Las Vegas Motor Speedway,28,38,Zane Smith,Zane Smith,4272
5548,Las Vegas Motor Speedway,29,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5548,Las Vegas Motor Speedway,30,41,Cole Custer,Cole Custer,4104
5548,Las Vegas Motor Speedway,31,7,Justin Haley,Justin Haley,4172
5548,Las Vegas Motor Speedway,32,88,Shane van Gisbergen,Shane van Gisbergen,4469
5548,Las Vegas Motor Speedway,33,10,Ty Dillon,Ty Dillon,4013
5548,Las Vegas Motor Speedway,34,34,Todd Gilliland,Todd Gilliland,4231
5548,Las Vegas Motor Speedway,35,51,Cody Ware,Cody Ware,4125
5548,Las Vegas Motor Speedway,36,35,Riley Herbst,Riley Herbst,4269
5549,Phoenix Raceway,1,12,Ryan Blaney,Ryan Blaney,4023
5549,Phoenix Raceway,2,20,Christopher Bell,Christopher Bell,4153
5549,Phoenix Raceway,3,24,William Byron,William Byron,4184
5549,Phoenix Raceway,4,9,Chase Elliott,Chase Elliott,4062
5549,Phoenix Raceway,5,11,Denny Hamlin,Denny Hamlin,1361
5549,Phoenix Raceway,6,17,Chris Buescher,Chris Buescher,3989
5549,Phoenix Raceway,7,22,Joey Logano,Joey Logano,3859
5549,Phoenix Raceway,8,5,Kyle Larson,Kyle Larson,4030
5549,Phoenix Raceway,9,1,Ross Chastain,Ross Chastain,4001
5549,Phoenix Raceway,10,45,Tyler Reddick,Tyler Reddick,4065
5549,Phoenix Raceway,11,23,Bubba Wallace,Bubba Wallace,4025
5549,Phoenix Raceway,12,77,Carson Hocevar,Carson Hocevar,4326
5549,Phoenix Raceway,13,21,Josh Berry,Josh Berry,4123
5549,Phoenix Raceway,14,19,Chase Briscoe,Chase Briscoe,4228
5549,Phoenix Raceway,15,6,Brad Keselowski,Brad Keselowski,1816
5549,Phoenix Raceway,16,71,Michael McDowell,Michael McDowell,3832
5549,Phoenix Raceway,17,43,Erik Jones,Erik Jones,4059
5549,Phoenix Raceway,18,48,Alex Bowman,Alex Bowman,4045
5549,Phoenix Raceway,19,8,Kyle Busch,Kyle Busch,454
5549,Phoenix Raceway,20,2,Austin Cindric,Austin Cindric,4180
5549,Phoenix Raceway,21,99,Daniel Suárez,Daniel Suárez,4113
5549,Phoenix Raceway,22,60,Ryan Preece,Ryan Preece,4070
5549,Phoenix Raceway,23,41,Cole Custer,Cole Custer,4104
5549,Phoenix Raceway,24,16,AJ Allmendinger,AJ Allmendinger,3774
5549,Phoenix Raceway,25,4,Noah Gragson,Noah Gragson,4224
5549,Phoenix Raceway,26,3,Austin Dillon,Austin Dillon,3873
5549,Phoenix Raceway,27,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5549,Phoenix Raceway,28,34,Todd Gilliland,Todd Gilliland,4231
5549,Phoenix Raceway,29,54,Ty Gibbs,Ty Gibbs,4368
5549,Phoenix Raceway,30,7,Justin Haley,Justin Haley,4172
5549,Phoenix Raceway,31,35,Riley Herbst,Riley Herbst,4269
5549,Phoenix Raceway,32,38,Zane Smith,Zane Smith,4272
5549,Phoenix Raceway,33,10,Ty Dillon,Ty Dillon,4013
5549,Phoenix Raceway,34,42,John H. Nemechek,John H. Nemechek,4092
5549,Phoenix Raceway,35,51,Cody Ware,Cody Ware,4125
5549,Phoenix Raceway,36,88,Shane van Gisbergen,Shane van Gisbergen,4469
5549,Phoenix Raceway,37,78,Katherine Legge,Katherine Legge,4284
5550,Bristol Motor Speedway,1,5,Kyle Larson,Kyle Larson,4030
5550,Bristol Motor Speedway,2,11,Denny Hamlin,Denny Hamlin,1361
5550,Bristol Motor Speedway,3,20,Christopher Bell,Christopher Bell,4153
5550,Bristol Motor Speedway,4,9,Chase Elliott,Chase Elliott,4062
5550,Bristol Motor Speedway,5,48,Alex Bowman,Alex Bowman,4045
5550,Bristol Motor Speedway,6,24,William Byron,William Byron,4184
5550,Bristol Motor Speedway,7,17,Chris Buescher,Chris Buescher,3989
5550,Bristol Motor Speedway,8,12,Ryan Blaney,Ryan Blaney,4023
5550,Bristol Motor Speedway,9,54,Ty Gibbs,Ty Gibbs,4368
5550,Bristol Motor Speedway,10,1,Ross Chastain,Ross Chastain,4001
5550,Bristol Motor Speedway,11,19,Chase Briscoe,Chase Briscoe,4228
5550,Bristol Motor Speedway,12,23,Bubba Wallace,Bubba Wallace,4025
5550,Bristol Motor Speedway,13,45,Tyler Reddick,Tyler Reddick,4065
5550,Bristol Motor Speedway,14,6,Brad Keselowski,Brad Keselowski,1816
5550,Bristol Motor Speedway,15,21,Josh Berry,Josh Berry,4123
5550,Bristol Motor Speedway,16,77,Carson Hocevar,Carson Hocevar,4326
5550,Bristol Motor Speedway,17,8,Kyle Busch,Kyle Busch,454
5550,Bristol Motor Speedway,18,71,Michael McDowell,Michael McDowell,3832
5550,Bristol Motor Speedway,19,60,Ryan Preece,Ryan Preece,4070
5550,Bristol Motor Speedway,20,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5550,Bristol Motor Speedway,21,22,Joey Logano,Joey Logano,3859
5550,Bristol Motor Speedway,22,4,Noah Gragson,Noah Gragson,4224
5550,Bristol Motor Speedway,23,16,A.J. Allmendinger,AJ Allmendinger,3774
5550,Bristol Motor Speedway,24,42,John H Nemechek,John H. Nemechek,4092
5550,Bristol Motor Speedway,25,3,Austin Dillon,Austin Dillon,3873
5550,Bristol Motor Speedway,26,7,Justin Haley,Justin Haley,4172
5550,Bristol Motor Speedway,27,2,Austin Cindric,Austin Cindric,4180
5550,Bristol Motor Speedway,28,99,Daniel Suarez,Daniel Suárez,4113
5550,Bristol Motor Speedway,29,43,Erik Jones,Erik Jones,4059
5550,Bristol Motor Speedway,30,41,Cole Custer,Cole Custer,4104
5550,Bristol Motor Speedway,31,38,Zane Smith,Zane Smith,4272
5550,Bristol Motor Speedway,32,34,Todd Gilliland,Todd Gilliland,4231
5550,Bristol Motor Speedway,33,10,Ty Dillon,Ty Dillon,4013
5550,Bristol Motor Speedway,34,1,Corey LaJoie,Corey LaJoie,4096
5550,Bristol Motor Speedway,35,51,Cody Ware,Cody Ware,4125
5550,Bristol Motor Speedway,36,35,Riley Herbst,Riley Herbst,4269
5550,Bristol Motor Speedway,37,88,Shane van Gisbergen,Shane van Gisbergen,4469
5550,Bristol Motor Speedway,38,33,Jesse Love,Jesse Love,4463
5550,Bristol Motor Speedway,39,66,Josh Bilicki,Josh Bilicki,4213
5551,Circuit of The Americas,1,5,Kyle Larson,Kyle Larson,4030
5551,Circuit of The Americas,2,88,Shane van Gisbergen,Shane van Gisbergen,4469
5551,Circuit of The Americas,3,9,Chase Elliott,Chase Elliott,4062
5551,Circuit of The Americas,4,1,Ross Chastain,Ross Chastain,4001
5551,Circuit of The Americas,5,45,Tyler Reddick,Tyler Reddick,4065
5551,Circuit of The Americas,6,24,William Byron,William Byron,4184
5551,Circuit of The Americas,7,20,Christopher Bell,Christopher Bell,4153
5551,Circuit of The Americas,8,16,AJ Allmendinger,AJ Allmendinger,3774
5551,Circuit of The Americas,9,17,Chris Buescher,Chris Buescher,3989
5551,Circuit of The Americas,10,54,Ty Gibbs,Ty Gibbs,4368
5551,Circuit of The Americas,11,48,Alex Bowman,Alex Bowman,4045
5551,Circuit of The Americas,12,71,Michael McDowell,Michael McDowell,3832
5551,Circuit of The Americas,13,8,Kyle Busch,Kyle Busch,454
5551,Circuit of The Americas,14,12,Ryan Blaney,Ryan Blaney,4023
5551,Circuit of The Americas,15,11,Denny Hamlin,Denny Hamlin,1361
5551,Circuit of The Americas,16,2,Austin Cindric,Austin Cindric,4180
5551,Circuit of The Americas,17,77,Carson Hocevar,Carson Hocevar,4326
5551,Circuit of The Americas,18,22,Joey Logano,Joey Logano,3859
5551,Circuit of The Americas,19,19,Chase Briscoe,Chase Briscoe,4228
5551,Circuit of The Americas,20,99,Daniel Suárez,Daniel Suárez,4113
5551,Circuit of The Americas,21,34,Todd Gilliland,Todd Gilliland,4231
5551,Circuit of The Americas,22,23,Bubba Wallace,Bubba Wallace,4025
5551,Circuit of The Americas,23,38,Zane Smith,Zane Smith,4272
5551,Circuit of The Americas,24,60,Ryan Preece,Ryan Preece,4070
5551,Circuit of The Americas,25,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5551,Circuit of The Americas,26,6,Brad Keselowski,Brad Keselowski,1816
5551,Circuit of The Americas,27,4,Noah Gragson,Noah Gragson,4224
5551,Circuit of The Americas,28,3,Austin Dillon,Austin Dillon,3873
5551,Circuit of The Americas,29,7,Justin Haley,Justin Haley,4172
5551,Circuit of The Americas,30,42,John H. Nemechek,John H. Nemechek,4092
5551,Circuit of The Americas,31,43,Erik Jones,Erik Jones,4059
5551,Circuit of The Americas,32,21,Josh Berry,Josh Berry,4123
5551,Circuit of The Americas,33,10,Ty Dillon,Ty Dillon,4013
5551,Circuit of The Americas,34,51,Cody Ware,Cody Ware,4125
5551,Circuit of The Americas,35,41,Cole Custer,Cole Custer,4104
5551,Circuit of The Americas,36,87,Connor Zilisch,Connor Zilisch,4481
5551,Circuit of The Americas,37,35,Riley Herbst,Riley Herbst,4269
5552,Autódromo Hermanos Rodríguez,1,5,Kyle Larson,Kyle Larson,4030
5552,Autódromo Hermanos Rodríguez,2,88,Shane van Gisbergen,Shane van Gisbergen,4469
5552,Autódromo Hermanos Rodríguez,3,20,Christopher Bell,Christopher Bell,4153
5552,Autódromo Hermanos Rodríguez,4,9,Chase Elliott,Chase Elliott,4062
5552,Autódromo Hermanos Rodríguez,5,24,William Byron,William Byron,4184
5552,Autódromo Hermanos Rodríguez,6,1,Ross Chastain,Ross Chastain,4001
5552,Autódromo Hermanos Rodríguez,7,16,AJ Allmendinger,AJ Allmendinger,3774
5552,Autódromo Hermanos Rodríguez,8,54,Ty Gibbs,Ty Gibbs,4368
5552,Autódromo Hermanos Rodríguez,9,17,Chris Buescher,Chris Buescher,3989
5552,Autódromo Hermanos Rodríguez,10,45,Tyler Reddick,Tyler Reddick,4065
5552,Autódromo Hermanos Rodríguez,11,71,Michael McDowell,Michael McDowell,3832
5552,Autódromo Hermanos Rodríguez,12,8,Kyle Busch,Kyle Busch,454
5552,Autódromo Hermanos Rodríguez,13,12,Ryan Blaney,Ryan Blaney,4023
5552,Autódromo Hermanos Rodríguez,14,22,Joey Logano,Joey Logano,3859
5552,Autódromo Hermanos Rodríguez,15,19,Chase Briscoe,Chase Briscoe,4228
5552,Autódromo Hermanos Rodríguez,16,77,Carson Hocevar,Carson Hocevar,4326
5552,Autódromo Hermanos Rodríguez,17,48,Alex Bowman,Alex Bowman,4045
5552,Autódromo Hermanos Rodríguez,18,99,Daniel Suárez,Daniel Suárez,4113
5552,Autódromo Hermanos Rodríguez,19,2,Austin Cindric,Austin Cindric,4180
5552,Autódromo Hermanos Rodríguez,20,34,Todd Gilliland,Todd Gilliland,4231
5552,Autódromo Hermanos Rodríguez,21,60,Ryan Preece,Ryan Preece,4070
5552,Autódromo Hermanos Rodríguez,22,23,Bubba Wallace,Bubba Wallace,4025
5552,Autódromo Hermanos Rodríguez,23,35,Riley Herbst,Riley Herbst,4269
5552,Autódromo Hermanos Rodríguez,24,38,Zane Smith,Zane Smith,4272
5552,Autódromo Hermanos Rodríguez,25,6,Brad Keselowski,Brad Keselowski,1816
5552,Autódromo Hermanos Rodríguez,26,7,Justin Haley,Justin Haley,4172
5552,Autódromo Hermanos Rodríguez,27,3,Austin Dillon,Austin Dillon,3873
5552,Autódromo Hermanos Rodríguez,28,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5552,Autódromo Hermanos Rodríguez,29,43,Erik Jones,Erik Jones,4059
5552,Autódromo Hermanos Rodríguez,30,4,Noah Gragson,Noah Gragson,4224
5552,Autódromo Hermanos Rodríguez,31,41,Cole Custer,Cole Custer,4104
5552,Autódromo Hermanos Rodríguez,32,21,Josh Berry,Josh Berry,4123
5552,Autódromo Hermanos Rodríguez,33,42,John Hunter Nemechek,John H. Nemechek,4092
5552,Autódromo Hermanos Rodríguez,34,10,Ty Dillon,Ty Dillon,4013
5552,Autódromo Hermanos Rodríguez,35,51,Cody Ware,Cody Ware,4125
5552,Autódromo Hermanos Rodríguez,36,11,Ryan Truex,Ryan Truex,3952
5552,Autódromo Hermanos Rodríguez,37,78,Katherine Legge,Katherine Legge,4284
5553,Martinsville Speedway,1,9,Chase Elliott,Chase Elliott,4062
5553,Martinsville Speedway,2,11,Denny Hamlin,Denny Hamlin,1361
5553,Martinsville Speedway,3,5,Kyle Larson,Kyle Larson,4030
5553,Martinsville Speedway,4,24,William Byron,William Byron,4184
5553,Martinsville Speedway,5,12,Ryan Blaney,Ryan Blaney,4023
5553,Martinsville Speedway,6,22,Joey Logano,Joey Logano,3859
5553,Martinsville Speedway,7,20,Christopher Bell,Christopher Bell,4153
5553,Martinsville Speedway,8,19,Chase Briscoe,Chase Briscoe,4228
5553,Martinsville Speedway,9,23,Bubba Wallace,Bubba Wallace,4025
5553,Martinsville Speedway,10,48,Alex Bowman,Alex Bowman,4045
5553,Martinsville Speedway,11,1,Ross Chastain,Ross Chastain,4001
5553,Martinsville Speedway,12,41,Cole Custer,Cole Custer,4104
5553,Martinsville Speedway,13,17,Chris Buescher,Chris Buescher,3989
5553,Martinsville Speedway,14,21,Josh Berry,Josh Berry,4123
5553,Martinsville Speedway,15,60,Ryan Preece,Ryan Preece,4070
5553,Martinsville Speedway,16,99,Daniel Suárez,Daniel Suárez,4113
5553,Martinsville Speedway,17,45,Tyler Reddick,Tyler Reddick,4065
5553,Martinsville Speedway,18,8,Kyle Busch,Kyle Busch,454
5553,Martinsville Speedway,19,2,Austin Cindric,Austin Cindric,4180
5553,Martinsville Speedway,20,6,Brad Keselowski,Brad Keselowski,1816
5553,Martinsville Speedway,21,88,Shane van Gisbergen,Shane van Gisbergen,4469
5553,Martinsville Speedway,22,54,Ty Gibbs,Ty Gibbs,4368
5553,Martinsville Speedway,23,4,Noah Gragson,Noah Gragson,4224
5553,Martinsville Speedway,24,34,Todd Gilliland,Todd Gilliland,4231
5553,Martinsville Speedway,25,3,Austin Dillon,Austin Dillon,3873
5553,Martinsville Speedway,26,71,Michael McDowell,Michael McDowell,3832
5553,Martinsville Speedway,27,43,Erik Jones,Erik Jones,4059
5553,Martinsville Speedway,28,16,AJ Allmendinger,AJ Allmendinger,3774
5553,Martinsville Speedway,29,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5553,Martinsville Speedway,30,77,Carson Hocevar,Carson Hocevar,4326
5553,Martinsville Speedway,31,38,Zane Smith,Zane Smith,4272
5553,Martinsville Speedway,32,10,Ty Dillon,Ty Dillon,4013
5553,Martinsville Speedway,33,42,John Hunter Nemechek,John H. Nemechek,4092
5553,Martinsville Speedway,34,7,Justin Haley,Justin Haley,4172
5553,Martinsville Speedway,35,51,Cody Ware,Cody Ware,4125
5553,Martinsville Speedway,36,35,Riley Herbst,Riley Herbst,4269
5553,Martinsville Speedway,37,66,Casey Mears,Casey Mears,2215
5553,Martinsville Speedway,38,50,Burt Myers,Burt Myers,3918
5554,Texas Motor Speedway,1,24,William Byron,William Byron,4184
